time,volume,x,y,z,u_x,u_y,u_z,omega_x,omega_y,omega_z,area
1.0623053,0.52231192,-9.606e-05,4.34407801,-3.813e-05,-0.00021593,1.31282734,-0.00022284,5.09e-06,6.87e-06,4.304e-05,3.21349817
1.07009346,0.52231069,-9.758e-05,4.35431507,-3.974e-05,-0.00021357,1.31733442,-0.00021874,9.71e-06,6.01e-06,4.681e-05,3.21434559
1.07788162,0.52230925,-9.916e-05,4.36458696,-4.141e-05,-0.00019456,1.32156801,-0.00019784,1.733e-05,2.52e-06,5.318e-05,3.21573652
1.08566978,0.52230774,-0.00010055,4.37489218,-4.314e-05,-0.00016791,1.32579186,-0.00021075,2.05e-05,2.5e-06,4.743e-05,3.21790471
1.09345794,0.52230714,-0.00010166,4.38522959,-4.489e-05,-0.00015201,1.32989405,-0.00021333,1.979e-05,2.69e-06,4.715e-05,3.21871616
1.10124611,0.52230623,-0.00010264,4.39560028,-4.649e-05,-0.00012788,1.33385099,-0.000201,-1.545e-05,1.97e-06,4.582e-05,3.22000536
1.10903427,0.52230568,-0.00010349,4.4059991,-4.797e-05,-0.00010923,1.33752724,-0.00020275,-1.422e-05,3.33e-06,4.567e-05,3.22176284
1.11682243,0.52230534,-0.00010421,4.41642519,-4.944e-05,-9.164e-05,1.34126016,-0.00019142,-2.264e-05,3.38e-06,5.11e-05,3.22331736
1.12461059,0.52230508,-0.00010478,4.42688085,-5.091e-05,-5.868e-05,1.3447801,-0.00018637,-1.596e-05,7.35e-06,6.129e-05,3.2245812
1.13239875,0.52230438,-0.0001051,4.43736485,-5.226e-05,-4.253e-05,1.34814543,-0.00016966,-1.025e-05,8.17e-06,5.688e-05,3.22667118
1.14018692,0.52230459,-0.00010543,4.44787158,-5.376e-05,-5.065e-05,1.35132571,-0.00013689,-1.26e-05,9.19e-06,5.117e-05,3.22755333
1.14797508,0.52230478,-0.00010571,4.4584056,-5.48e-05,-2.723e-05,1.35447804,-0.00013157,-6.08e-06,8.92e-06,4.897e-05,3.2291548
1.15576324,0.52230467,-0.00010591,4.46896416,-5.556e-05,2.136e-05,1.3575253,-0.0001373,-5.21e-06,9.27e-06,5.35e-05,3.23118264
1.1635514,0.52230478,-0.00010595,4.47954388,-5.644e-05,1.16e-06,1.36068456,-0.00010998,-1.581e-05,8.37e-06,4.646e-05,3.23303275
1.17133956,0.52230488,-0.00010586,4.49015016,-5.743e-05,1.557e-05,1.36371478,-0.00010643,-2.366e-05,9.79e-06,5.218e-05,3.2344496
1.17912773,0.52230524,-0.00010578,4.50077837,-5.813e-05,1.719e-05,1.36655165,-7.786e-05,-1.802e-05,1.078e-05,6.777e-05,3.23627072
1.18691589,0.52230617,-0.0001055,4.51142652,-5.891e-05,2.414e-05,1.36931515,-9.49e-05,-1.004e-05,1.111e-05,4.86e-05,3.23823666
1.19470405,0.52230661,-0.00010521,4.52209665,-5.957e-05,3.524e-05,1.37185219,-7.747e-05,-5.83e-06,9.8e-06,4.903e-05,3.24040744
1.20249221,0.52230692,-0.0001048,4.53278909,-6.012e-05,5.166e-05,1.3745788,-5.987e-05,-1.072e-05,8.66e-06,4.707e-05,3.24188374
1.21028037,0.52230751,-0.00010443,4.54350216,-6.049e-05,5.844e-05,1.37722389,-4.031e-05,-1.23e-05,7.46e-06,4.006e-05,3.24421726
1.21806854,0.52230824,-0.00010394,4.55423544,-6.078e-05,7.045e-05,1.37976754,-2.125e-05,-9.8e-06,7.93e-06,3.718e-05,3.24609456
1.2258567,0.52230778,-0.0001034,4.5649875,-6.072e-05,6.525e-05,1.38226166,-9.1e-07,-9.75e-06,7.35e-06,3.57e-05,3.24811632
1.23364486,0.52230764,-0.00010296,4.57575832,-6.06e-05,5.166e-05,1.38478391,1.139e-05,-7.83e-06,8.56e-06,3.893e-05,3.24953381
1.24143302,0.52230777,-0.00010233,4.5865504,-6.045e-05,9.703e-05,1.38706441,3.766e-05,-9.62e-06,1.139e-05,3.411e-05,3.25164588
1.24922118,0.52230805,-0.00010178,4.59735766,-6.01e-05,6.01e-05,1.38979083,4.835e-05,-1.307e-05,9.96e-06,3.225e-05,3.25374062
1.25700935,0.52230842,-0.0001013,4.60818783,-5.971e-05,8.116e-05,1.39204368,8.664e-05,-1.368e-05,8.63e-06,3.097e-05,3.25542054
1.26479751,0.52230865,-0.00010057,4.61903587,-5.909e-05,8.255e-05,1.39450217,9.106e-05,-1.553e-05,1.021e-05,2.592e-05,3.25740501
1.27258567,0.52230884,-0.00010004,4.62990211,-5.824e-05,6.468e-05,1.39676487,0.00011286,-2.616e-05,1.13e-05,2.355e-05,3.2597019
1.28037383,0.52230888,-9.968e-05,4.64078635,-5.722e-05,6.641e-05,1.39910564,0.00013677,-2.882e-05,1.207e-05,2.483e-05,3.26145375
1.28816199,0.52230913,-9.916e-05,4.65168969,-5.612e-05,6.53e-05,1.40136302,0.00015687,-1.514e-05,8e-06,3.373e-05,3.26337222
